filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
h_open_(2).wav,0.3154398500919342,0.08601371198892593,2586.5018885628538,2917.471989772117,6100.828405928938,0.0904122966609589,-276.276123046875,85.1427993774414,20.38707733154297,1.6283046007156372,1.6127443313598633,-17.03491973876953,-8.168893814086914,-14.2117919921875,-16.24551773071289,0.6973739266395569,-17.603086471557617,-5.162168025970459,-16.76862907409668,-2.041483163833618,-4.485771656036377,-2.526528835296631,-5.834964752197266,-7.609072208404541,-13.241393089294434,3.393303394317627,0
h_open_(3).wav,0.3938644230365753,0.07724127173423767,2805.729360923339,2987.032311128777,6187.888916015625,0.108896484375,-283.0164794921875,90.7806625366211,27.1702938079834,-0.4678708612918854,1.7399524450302124,-21.762317657470703,-7.264072895050049,-7.382864475250244,-9.03532886505127,0.16962648928165436,-13.131335258483887,-2.8286092281341553,-13.160922050476074,-3.687473773956299,-4.985435962677002,-1.629408597946167,-6.230628490447998,-3.5619592666625977,-9.419321060180664,7.444015026092529,0
h_open_(4).wav,0.27442342042922974,0.09846499562263489,2775.782561620782,3001.296929325675,6127.264730438931,0.10599057729007634,-272.17218017578125,86.72229766845703,35.49915313720703,-3.259546995162964,-1.6937174797058105,-31.71773338317871,-12.002598762512207,-12.81954288482666,-6.233127117156982,-4.065188407897949,-15.341480255126953,-5.111778259277344,-16.629898071289062,-1.827773928642273,-1.4226213693618774,-3.7764556407928467,-3.475846767425537,-4.8927412033081055,-7.9306817054748535,1.5929023027420044,0
h_open_(5).wav,0.3060891032218933,0.10288833826780319,2672.473296297535,3012.146554138,6628.466796875,0.08911520337301587,-269.23419189453125,85.9563217163086,21.100584030151367,-4.577347755432129,-6.01298189163208,-16.90825653076172,-6.5431623458862305,-11.342167854309082,-6.767994403839111,-0.6446552872657776,-14.755790710449219,-1.0122325420379639,-19.843034744262695,1.0413639545440674,-1.7045916318893433,-3.3730854988098145,0.7917343974113464,3.8070688247680664,-4.576859951019287,5.265816688537598,0
h_open_(6).wav,0.39352527260780334,0.052994318306446075,2844.882778631874,2970.3120166652316,6467.174560546875,0.12984375,-294.1934814453125,85.4399185180664,30.404191970825195,3.0772690773010254,-2.031766891479492,-10.675541877746582,-5.530587673187256,-11.388527870178223,-5.042609214782715,-5.661017417907715,-13.964262962341309,-6.126288890838623,-15.305821418762207,3.796266555786133,-3.51554799079895,0.14488907158374786,-10.530206680297852,1.3821587562561035,-7.295050144195557,2.444887161254883,0
h_open_(7).wav,0.2823670208454132,0.08971898257732391,3076.2457874708825,3397.0347091544204,7732.721747036638,0.11634563577586207,-280.5736999511719,90.48532104492188,31.815811157226562,-9.632600784301758,4.4033637046813965,-17.138965606689453,-2.2172982692718506,-19.928192138671875,-2.2256126403808594,-12.926106452941895,-16.058744430541992,-7.951501846313477,-5.809353828430176,0.06963548064231873,-8.395347595214844,-5.024415969848633,-3.1658501625061035,3.3070871829986572,-6.2715373039245605,0.6654356718063354,0
h_open_(8).wav,0.40074488520622253,0.07800779491662979,2710.0403366068304,3047.427924120771,6277.4218377266225,0.11684831226145038,-302.7536926269531,95.82720184326172,31.834461212158203,-6.3075079917907715,0.2371159940958023,-16.503944396972656,-8.152280807495117,-13.734756469726562,-2.88291072845459,-5.125267505645752,-10.264762878417969,-10.63858413696289,-6.518599510192871,-5.310862064361572,-2.4693257808685303,-7.619226455688477,-6.113463878631592,5.058740615844727,-5.790400505065918,-1.359104871749878,0
h_open_(9).wav,0.3707582652568817,0.06622517853975296,2499.116498134618,2838.169126728395,5722.314147949219,0.1086181640625,-298.1852111816406,96.60765838623047,25.186323165893555,-6.333661079406738,-1.2959775924682617,-9.962854385375977,-9.116981506347656,-2.2288401126861572,-8.435507774353027,-3.1038758754730225,-14.374298095703125,-5.595168113708496,-9.920907020568848,3.469557523727417,-3.9804847240448,-7.654583930969238,-2.4439475536346436,0.8861586451530457,-7.9919843673706055,-6.197932243347168,0
b_close_(1).wav,0.3401387631893158,0.023919276893138885,1958.0606320459885,1984.9941840621902,4210.118986430921,0.10285601699561403,-481.86865234375,59.04338455200195,6.663753032684326,20.9748592376709,5.675572395324707,7.127873420715332,-3.5585134029388428,-9.97142505645752,-7.827380657196045,-5.9086594581604,-5.363752365112305,-2.208094358444214,0.42209604382514954,1.1333571672439575,2.5400846004486084,3.259765625,2.7885115146636963,1.3501355648040771,2.1197667121887207,-2.8027756214141846,1
b_close_(10).wav,0.30342185497283936,0.02546573244035244,2001.0216721012875,1893.4242581314384,4023.71826171875,0.1220364040798611,-444.4064636230469,102.0738525390625,5.108567237854004,20.147003173828125,-9.933155059814453,0.886698842048645,-15.179216384887695,-8.298256874084473,-2.802619457244873,-4.089189529418945,-11.330235481262207,1.8384935855865479,-12.265822410583496,2.0771427154541016,14.87236499786377,-0.48469802737236023,3.9362704753875732,-2.222012758255005,0.18321365118026733,-8.14350700378418,1
